inst#,actual,predicted,error,prediction
152,1:?,1:N,,0.955
153,1:?,1:N,,0.832
154,1:?,2:Y,,0.534
155,1:?,1:N,,0.951
156,1:?,1:N,,0.972
157,1:?,2:Y,,1
158,1:?,2:Y,,0.739
159,1:?,1:N,,0.894
160,1:?,2:Y,,0.772
161,1:?,2:Y,,0.723
162,1:?,2:Y,,0.767
163,1:?,2:Y,,0.821
164,1:?,1:N,,0.883
165,1:?,1:N,,0.755
166,1:?,2:Y,,0.591
167,1:?,1:N,,0.778
168,1:?,1:N,,0.934
169,1:?,2:Y,,0.88
170,1:?,1:N,,0.833
171,1:?,1:N,,0.954
172,1:?,1:N,,0.946
173,1:?,1:N,,0.943
174,1:?,1:N,,0.959
175,1:?,1:N,,0.981
176,1:?,2:Y,,0.99
177,1:?,2:Y,,0.98
178,1:?,1:N,,0.659
179,1:?,2:Y,,0.99
180,1:?,2:Y,,0.984
181,1:?,1:N,,1
182,1:?,2:Y,,0.615
183,1:?,2:Y,,0.99
184,1:?,1:N,,0.984
185,1:?,2:Y,,0.9
186,1:?,1:N,,0.915
187,1:?,2:Y,,0.98
188,1:?,1:N,,0.907
189,1:?,1:N,,0.905
190,1:?,1:N,,0.892
191,1:?,1:N,,0.9
192,1:?,1:N,,0.753
193,1:?,2:Y,,0.548
194,1:?,1:N,,0.858
195,1:?,2:Y,,0.805
196,1:?,1:N,,0.863
197,1:?,2:Y,,0.723
198,1:?,2:Y,,0.617
199,1:?,1:N,,0.953
200,1:?,1:N,,0.57
201,1:?,2:Y,,0.601
202,1:?,2:Y,,0.765
203,1:?,1:N,,0.693
204,1:?,2:Y,,0.93
205,1:?,1:N,,0.97
206,1:?,1:N,,0.71
207,1:?,1:N,,0.629
208,1:?,1:N,,0.953
209,1:?,2:Y,,0.92
210,1:?,1:N,,0.869
211,1:?,1:N,,0.844
212,1:?,1:N,,0.858
213,1:?,1:N,,0.862
214,1:?,2:Y,,0.818
215,1:?,1:N,,0.656
216,1:?,1:N,,0.803
217,1:?,1:N,,0.658
218,1:?,1:N,,0.8
219,1:?,2:Y,,0.931
220,1:?,1:N,,0.983
221,1:?,2:Y,,0.97
222,1:?,1:N,,1
223,1:?,2:Y,,0.91
224,1:?,1:N,,1
225,1:?,2:Y,,0.876
226,1:?,2:Y,,0.548
227,1:?,1:N,,1
228,1:?,1:N,,0.621
229,1:?,1:N,,0.991
230,1:?,1:N,,0.99
231,1:?,1:N,,0.779
232,1:?,2:Y,,0.98
233,1:?,1:N,,0.894
234,1:?,1:N,,0.893
235,1:?,2:Y,,0.569
236,1:?,1:N,,1
237,1:?,1:N,,0.716
238,1:?,1:N,,0.898
239,1:?,2:Y,,0.89
240,1:?,2:Y,,0.99
241,1:?,2:Y,,0.866
242,1:?,2:Y,,0.943
243,1:?,1:N,,0.75
244,1:?,1:N,,0.979
245,1:?,1:N,,0.83
246,1:?,1:N,,0.664
247,1:?,2:Y,,0.97
248,1:?,1:N,,0.86
249,1:?,2:Y,,1
250,1:?,1:N,,0.617
251,1:?,2:Y,,0.95
252,1:?,1:N,,1
253,1:?,1:N,,0.674
254,1:?,1:N,,0.975
255,1:?,1:N,,0.878
256,1:?,1:N,,0.94
257,1:?,1:N,,0.943
258,1:?,1:N,,0.848
259,1:?,2:Y,,0.96
260,1:?,1:N,,0.949
261,1:?,1:N,,0.96
262,1:?,1:N,,0.959
263,1:?,2:Y,,0.98
264,1:?,2:Y,,0.701
265,1:?,1:N,,0.576
266,1:?,1:N,,0.905
267,1:?,1:N,,0.879
268,1:?,1:N,,0.775
269,1:?,2:Y,,0.644
270,1:?,1:N,,0.873
271,1:?,1:N,,0.553
272,1:?,1:N,,0.934
273,1:?,2:Y,,1
274,1:?,2:Y,,0.652
275,1:?,1:N,,0.925
276,1:?,2:Y,,0.98
277,1:?,1:N,,0.911
278,1:?,1:N,,0.917
279,1:?,1:N,,0.928
280,1:?,1:N,,0.95
281,1:?,1:N,,0.79
282,1:?,2:Y,,0.782
283,1:?,2:Y,,0.553
284,1:?,1:N,,0.591
285,1:?,2:Y,,0.648
286,1:?,1:N,,0.95
287,1:?,1:N,,0.869
288,1:?,2:Y,,0.542
289,1:?,1:N,,0.91
290,1:?,1:N,,0.989
291,1:?,1:N,,0.604
292,1:?,1:N,,0.687
293,1:?,1:N,,0.909
294,1:?,1:N,,0.618
295,1:?,1:N,,0.988
296,1:?,1:N,,0.997
297,1:?,2:Y,,0.989
298,1:?,1:N,,0.736
299,1:?,1:N,,0.71
300,1:?,1:N,,0.992
301,1:?,1:N,,0.944
302,1:?,1:N,,0.524
303,1:?,1:N,,0.8
304,1:?,1:N,,0.95
305,1:?,2:Y,,0.585
306,1:?,2:Y,,0.88
307,1:?,2:Y,,0.64
308,1:?,2:Y,,0.586
309,1:?,1:N,,0.703
310,1:?,1:N,,0.649
311,1:?,1:N,,0.891
312,1:?,1:N,,0.907
313,1:?,1:N,,0.979
314,1:?,2:Y,,0.515
315,1:?,2:Y,,0.994
316,1:?,2:Y,,0.526
317,1:?,2:Y,,0.544
318,1:?,1:N,,0.89
319,1:?,1:N,,0.982
320,1:?,1:N,,0.892
321,1:?,1:N,,0.997
322,1:?,1:N,,0.887
323,1:?,1:N,,0.92
324,1:?,1:N,,0.683
325,1:?,2:Y,,1
326,1:?,1:N,,0.81
327,1:?,2:Y,,0.989
328,1:?,2:Y,,0.529
329,1:?,1:N,,0.92
330,1:?,1:N,,0.961
331,1:?,2:Y,,0.943
332,1:?,2:Y,,0.67
333,1:?,1:N,,0.921
334,1:?,1:N,,0.649
335,1:?,1:N,,0.992
336,1:?,1:N,,0.787
337,1:?,1:N,,0.845
338,1:?,1:N,,0.822
339,1:?,1:N,,0.908
340,1:?,1:N,,0.911
341,1:?,1:N,,0.97
342,1:?,1:N,,0.936
343,1:?,1:N,,0.653
344,1:?,2:Y,,1
345,1:?,1:N,,0.709
346,1:?,2:Y,,0.726
347,1:?,1:N,,0.99
348,1:?,2:Y,,0.638
349,1:?,1:N,,0.97
350,1:?,2:Y,,0.98
351,1:?,2:Y,,0.982
352,1:?,1:N,,0.96
353,1:?,1:N,,0.849
354,1:?,1:N,,0.838
355,1:?,2:Y,,0.59
356,1:?,1:N,,0.771
357,1:?,2:Y,,0.99
358,1:?,1:N,,0.986
359,1:?,1:N,,0.961
360,1:?,1:N,,0.635
361,1:?,1:N,,0.96
362,1:?,2:Y,,0.99
363,1:?,2:Y,,0.9
364,1:?,1:N,,0.95
365,1:?,2:Y,,0.99
366,1:?,1:N,,0.85
367,1:?,1:N,,0.74
368,1:?,1:N,,0.7
369,1:?,2:Y,,0.962
370,1:?,1:N,,0.695
371,1:?,1:N,,0.903
372,1:?,2:Y,,0.98
373,1:?,1:N,,0.953
374,1:?,1:N,,0.961
375,1:?,2:Y,,0.964
376,1:?,2:Y,,0.977
377,1:?,1:N,,0.81
378,1:?,1:N,,0.916
379,1:?,1:N,,0.784
380,1:?,1:N,,0.922
381,1:?,1:N,,0.88
382,1:?,1:N,,0.875
383,1:?,2:Y,,0.569
384,1:?,1:N,,0.593
385,1:?,1:N,,0.916
386,1:?,2:Y,,0.95
387,1:?,1:N,,0.91
388,1:?,1:N,,0.96
389,1:?,1:N,,0.671
390,1:?,1:N,,0.754
391,1:?,1:N,,0.685
392,1:?,2:Y,,0.96
393,1:?,1:N,,0.611
394,1:?,1:N,,0.97
395,1:?,1:N,,0.94
396,1:?,2:Y,,1
397,1:?,1:N,,0.798
398,1:?,2:Y,,0.998
399,1:?,1:N,,0.981
400,1:?,1:N,,0.79
401,1:?,2:Y,,0.96
402,1:?,1:N,,0.98
403,1:?,2:Y,,0.98
404,1:?,1:N,,0.802
405,1:?,1:N,,0.556
406,1:?,1:N,,0.721
407,1:?,1:N,,0.97
408,1:?,1:N,,0.628
409,1:?,2:Y,,0.519
410,1:?,2:Y,,0.66
411,1:?,2:Y,,0.51
412,1:?,2:Y,,0.97
413,1:?,2:Y,,0.664
414,1:?,1:N,,0.976
415,1:?,2:Y,,0.988
416,1:?,1:N,,0.922
417,1:?,1:N,,0.976
418,1:?,2:Y,,0.538
