PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
215,3,male,?,1,0,7.75,Q,N
216,1,female,31,1,0,113.275,C,Y
217,3,female,27,0,0,7.925,S,Y
218,2,male,42,1,0,27,S,N
219,1,female,32,0,0,76.2917,C,Y
220,2,male,30,0,0,10.5,S,N
221,3,male,16,0,0,8.05,S,Y
222,2,male,27,0,0,13,S,N
223,3,male,51,0,0,8.05,S,N
224,3,male,?,0,0,7.8958,S,N
225,1,male,38,1,0,90,S,Y
226,3,male,22,0,0,9.35,S,N
227,2,male,19,0,0,10.5,S,Y
228,3,male,20.5,0,0,7.25,S,N
229,2,male,18,0,0,13,S,N
230,3,female,?,3,1,25.4667,S,N
231,1,female,35,1,0,83.475,S,Y
232,3,male,29,0,0,7.775,S,N
233,2,male,59,0,0,13.5,S,N
234,3,female,5,4,2,31.3875,S,Y
235,2,male,24,0,0,10.5,S,N
236,3,female,?,0,0,7.55,S,N
237,2,male,44,1,0,26,S,N
238,2,female,8,0,2,26.25,S,Y
239,2,male,19,0,0,10.5,S,N
240,2,male,33,0,0,12.275,S,N
241,3,female,?,1,0,14.4542,C,N
242,3,female,?,1,0,15.5,Q,Y
243,2,male,29,0,0,10.5,S,N
244,3,male,22,0,0,7.125,S,N
245,3,male,30,0,0,7.225,C,N
246,1,male,44,2,0,90,Q,N
247,3,female,25,0,0,7.775,S,N
248,2,female,24,0,2,14.5,S,Y
249,1,male,37,1,1,52.5542,S,Y
250,2,male,54,1,0,26,S,N
251,3,male,?,0,0,7.25,S,N
252,3,female,29,1,1,10.4625,S,N
253,1,male,62,0,0,26.55,S,N
254,3,male,30,1,0,16.1,S,N
255,3,female,41,0,2,20.2125,S,N
256,3,female,29,0,2,15.2458,C,Y
257,1,female,?,0,0,79.2,C,Y
258,1,female,30,0,0,86.5,S,Y
259,1,female,35,0,0,512.3292,C,Y
260,2,female,50,0,1,26,S,Y
261,3,male,?,0,0,7.75,Q,N
262,3,male,3,4,2,31.3875,S,Y
263,1,male,52,1,1,79.65,S,N
264,1,male,40,0,0,0,S,N
265,3,female,?,0,0,7.75,Q,N
266,2,male,36,0,0,10.5,S,N
267,3,male,16,4,1,39.6875,S,N
268,3,male,25,1,0,7.775,S,Y
269,1,female,58,0,1,153.4625,S,Y
270,1,female,35,0,0,135.6333,S,Y
271,1,male,?,0,0,31,S,N
272,3,male,25,0,0,0,S,Y
273,2,female,41,0,1,19.5,S,Y
274,1,male,37,0,1,29.7,C,N
275,3,female,?,0,0,7.75,Q,Y
276,1,female,63,1,0,77.9583,S,Y
277,3,female,45,0,0,7.75,S,N
278,2,male,?,0,0,0,S,N
279,3,male,7,4,1,29.125,Q,N
280,3,female,35,1,1,20.25,S,Y
281,3,male,65,0,0,7.75,Q,N
282,3,male,28,0,0,7.8542,S,N
283,3,male,16,0,0,9.5,S,N
284,3,male,19,0,0,8.05,S,Y
285,1,male,?,0,0,26,S,N
286,3,male,33,0,0,8.6625,C,N
287,3,male,30,0,0,9.5,S,Y
288,3,male,22,0,0,7.8958,S,N
289,2,male,42,0,0,13,S,Y
290,3,female,22,0,0,7.75,Q,Y
291,1,female,26,0,0,78.85,S,Y
292,1,female,19,1,0,91.0792,C,Y
293,2,male,36,0,0,12.875,C,N
294,3,female,24,0,0,8.85,S,N
295,3,male,24,0,0,7.8958,S,N
296,1,male,?,0,0,27.7208,C,N
297,3,male,23.5,0,0,7.2292,C,N
298,1,female,2,1,2,151.55,S,N
299,1,male,?,0,0,30.5,S,Y
300,1,female,50,0,1,247.5208,C,Y
301,3,female,?,0,0,7.75,Q,Y
302,3,male,?,2,0,23.25,Q,Y
303,3,male,19,0,0,0,S,N
304,2,female,?,0,0,12.35,Q,Y
305,3,male,?,0,0,8.05,S,N
306,1,male,0.92,1,2,151.55,S,Y
307,1,female,?,0,0,110.8833,C,Y
308,1,female,17,1,0,108.9,C,Y
309,2,male,30,1,0,24,C,N
310,1,female,30,0,0,56.9292,C,Y
311,1,female,24,0,0,83.1583,C,Y
312,1,female,18,2,2,262.375,C,Y
313,2,female,26,1,1,26,S,N
314,3,male,28,0,0,7.8958,S,N
315,2,male,43,1,1,26.25,S,N
316,3,female,26,0,0,7.8542,S,Y
317,2,female,24,1,0,26,S,Y
318,2,male,54,0,0,14,S,N
319,1,female,31,0,2,164.8667,S,Y
320,1,female,40,1,1,134.5,C,Y
321,3,male,22,0,0,7.25,S,N
322,3,male,27,0,0,7.8958,S,N
323,2,female,30,0,0,12.35,Q,Y
324,2,female,22,1,1,29,S,Y
325,3,male,?,8,2,69.55,S,N
326,1,female,36,0,0,135.6333,C,Y
327,3,male,61,0,0,6.2375,S,N
328,2,female,36,0,0,13,S,Y
329,3,female,31,1,1,20.525,S,Y
330,1,female,16,0,1,57.9792,C,Y
331,3,female,?,2,0,23.25,Q,Y
332,1,male,45.5,0,0,28.5,S,N
333,1,male,38,0,1,153.4625,S,N
334,3,male,16,2,0,18,S,N
335,1,female,?,1,0,133.65,S,Y
336,3,male,?,0,0,7.8958,S,N
337,1,male,29,1,0,66.6,S,N
338,1,female,41,0,0,134.5,C,Y
339,3,male,45,0,0,8.05,S,Y
340,1,male,45,0,0,35.5,S,N
341,2,male,2,1,1,26,S,Y
342,1,female,24,3,2,263,S,Y
343,2,male,28,0,0,13,S,N
344,2,male,25,0,0,13,S,N
345,2,male,36,0,0,13,S,N
346,2,female,24,0,0,13,S,Y
347,2,female,40,0,0,13,S,Y
348,3,female,?,1,0,16.1,S,Y
349,3,male,3,1,1,15.9,S,Y
350,3,male,42,0,0,8.6625,S,N
351,3,male,23,0,0,9.225,S,N
352,1,male,?,0,0,35,S,N
353,3,male,15,1,1,7.2292,C,N
354,3,male,25,1,0,17.8,S,N
355,3,male,?,0,0,7.225,C,N
356,3,male,28,0,0,9.5,S,N
357,1,female,22,0,1,55,S,Y
358,2,female,38,0,0,13,S,N
359,3,female,?,0,0,7.8792,Q,Y
360,3,female,?,0,0,7.8792,Q,Y
361,3,male,40,1,4,27.9,S,N
362,2,male,29,1,0,27.7208,C,N
363,3,female,45,0,1,14.4542,C,N
364,3,male,35,0,0,7.05,S,N
365,3,male,?,1,0,15.5,Q,N
366,3,male,30,0,0,7.25,S,N
367,1,female,60,1,0,75.25,C,Y
368,3,female,?,0,0,7.2292,C,Y
369,3,female,?,0,0,7.75,Q,Y
370,1,female,24,0,0,69.3,C,Y
371,1,male,25,1,0,55.4417,C,Y
372,3,male,18,1,0,6.4958,S,N
373,3,male,19,0,0,8.05,S,N
374,1,male,22,0,0,135.6333,C,N
375,3,female,3,3,1,21.075,S,N
376,1,female,?,1,0,82.1708,C,Y
377,3,female,22,0,0,7.25,S,Y
378,1,male,27,0,2,211.5,C,N
379,3,male,20,0,0,4.0125,C,N
380,3,male,19,0,0,7.775,S,N
381,1,female,42,0,0,227.525,C,Y
382,3,female,1,0,2,15.7417,C,Y
383,3,male,32,0,0,7.925,S,N
384,1,female,35,1,0,52,S,Y
385,3,male,?,0,0,7.8958,S,N
386,2,male,18,0,0,73.5,S,N
387,3,male,1,5,2,46.9,S,N
388,2,female,36,0,0,13,S,Y
389,3,male,?,0,0,7.7292,Q,N
390,2,female,17,0,0,12,C,Y
391,1,male,36,1,2,120,S,Y
392,3,male,21,0,0,7.7958,S,Y
393,3,male,28,2,0,7.925,S,N
394,1,female,23,1,0,113.275,C,Y
395,3,female,24,0,2,16.7,S,Y
396,3,male,22,0,0,7.7958,S,N
397,3,female,31,0,0,7.8542,S,N
398,2,male,46,0,0,26,S,N
399,2,male,23,0,0,10.5,S,N
400,2,female,28,0,0,12.65,S,Y
401,3,male,39,0,0,7.925,S,Y
402,3,male,26,0,0,8.05,S,N
403,3,female,21,1,0,9.825,S,N
404,3,male,28,1,0,15.85,S,N
405,3,female,20,0,0,8.6625,S,N
406,2,male,34,1,0,21,S,N
407,3,male,51,0,0,7.75,S,N
408,2,male,3,1,1,18.75,S,Y
409,3,male,21,0,0,7.775,S,N
410,3,female,?,3,1,25.4667,S,N
411,3,male,?,0,0,7.8958,S,N
412,3,male,?,0,0,6.8583,Q,N
413,1,female,33,1,0,90,Q,Y
414,2,male,?,0,0,0,S,N
415,3,male,44,0,0,7.925,S,Y
416,3,female,?,0,0,8.05,S,N
417,2,female,34,1,1,32.5,S,Y
418,2,female,18,0,2,13,S,Y
419,2,male,30,0,0,13,S,N
420,3,female,10,0,2,24.15,S,N
421,3,male,?,0,0,7.8958,C,N
422,3,male,21,0,0,7.7333,Q,N
423,3,male,29,0,0,7.875,S,N
424,3,female,28,1,1,14.4,S,N
425,3,male,18,1,1,20.2125,S,N
426,3,male,?,0,0,7.25,S,N
427,2,female,28,1,0,26,S,Y
428,2,female,19,0,0,26,S,Y
429,3,male,?,0,0,7.75,Q,N
430,3,male,32,0,0,8.05,S,Y
431,1,male,28,0,0,26.55,S,Y
432,3,female,?,1,0,16.1,S,Y
433,2,female,42,1,0,26,S,Y
434,3,male,17,0,0,7.125,S,N
435,1,male,50,1,0,55.9,S,N
436,1,female,14,1,2,120,S,Y
437,3,female,21,2,2,34.375,S,N
438,2,female,24,2,3,18.75,S,Y
439,1,male,64,1,4,263,S,N
440,2,male,31,0,0,10.5,S,N
441,2,female,45,1,1,26.25,S,Y
442,3,male,20,0,0,9.5,S,N
443,3,male,25,1,0,7.775,S,N
444,2,female,28,0,0,13,S,Y
445,3,male,?,0,0,8.1125,S,Y
446,1,male,4,0,2,81.8583,S,Y
447,2,female,13,0,1,19.5,S,Y
448,1,male,34,0,0,26.55,S,Y
449,3,female,5,2,1,19.2583,C,Y
450,1,male,52,0,0,30.5,S,Y
451,2,male,36,1,2,27.75,S,N
452,3,male,?,1,0,19.9667,S,N
453,1,male,30,0,0,27.75,C,N
454,1,male,49,1,0,89.1042,C,Y
455,3,male,?,0,0,8.05,S,N
456,3,male,29,0,0,7.8958,C,Y
457,1,male,65,0,0,26.55,S,N
458,1,female,?,1,0,51.8625,S,Y
459,2,female,50,0,0,10.5,S,Y
460,3,male,?,0,0,7.75,Q,N
461,1,male,48,0,0,26.55,S,Y
462,3,male,34,0,0,8.05,S,N
463,1,male,47,0,0,38.5,S,N
464,2,male,48,0,0,13,S,N
465,3,male,?,0,0,8.05,S,N
466,3,male,38,0,0,7.05,S,N
467,2,male,?,0,0,0,S,N
468,1,male,56,0,0,26.55,S,N
469,3,male,?,0,0,7.725,Q,N
470,3,female,0.75,2,1,19.2583,C,Y
471,3,male,?,0,0,7.25,S,N
472,3,male,38,0,0,8.6625,S,N
473,2,female,33,1,2,27.75,S,Y
474,2,female,23,0,0,13.7917,C,Y
475,3,female,22,0,0,9.8375,S,N
476,1,male,?,0,0,52,S,N
477,2,male,34,1,0,21,S,N
478,3,male,29,1,0,7.0458,S,N
479,3,male,22,0,0,7.5208,S,N
480,3,female,2,0,1,12.2875,S,Y
481,3,male,9,5,2,46.9,S,N
482,2,male,?,0,0,0,S,N
483,3,male,50,0,0,8.05,S,N
484,3,female,63,0,0,9.5875,S,Y
485,1,male,25,1,0,91.0792,C,Y
486,3,female,?,3,1,25.4667,S,N
487,1,female,35,1,0,90,S,Y
488,1,male,58,0,0,29.7,C,N
489,3,male,30,0,0,8.05,S,N
490,3,male,9,1,1,15.9,S,Y
491,3,male,?,1,0,19.9667,S,N
492,3,male,21,0,0,7.25,S,N
493,1,male,55,0,0,30.5,S,N
494,1,male,71,0,0,49.5042,C,N
495,3,male,21,0,0,8.05,S,N
496,3,male,?,0,0,14.4583,C,N
497,1,female,54,1,0,78.2667,C,Y
498,3,male,?,0,0,15.1,S,N
499,1,female,25,1,2,151.55,S,N
500,3,male,24,0,0,7.7958,S,N
501,3,male,17,0,0,8.6625,S,N
502,3,female,21,0,0,7.75,Q,N
503,3,female,?,0,0,7.6292,Q,N
504,3,female,37,0,0,9.5875,S,N
505,1,female,16,0,0,86.5,S,Y
506,1,male,18,1,0,108.9,C,N
507,2,female,33,0,2,26,S,Y
508,1,male,?,0,0,26.55,S,Y
509,3,male,28,0,0,22.525,S,N
510,3,male,26,0,0,56.4958,S,Y
511,3,male,29,0,0,7.75,Q,Y
512,3,male,?,0,0,8.05,S,N
513,1,male,36,0,0,26.2875,S,Y
514,1,female,54,1,0,59.4,C,Y
515,3,male,24,0,0,7.4958,S,N
516,1,male,47,0,0,34.0208,S,N
517,2,female,34,0,0,10.5,S,Y
518,3,male,?,0,0,24.15,Q,N
519,2,female,36,1,0,26,S,Y
520,3,male,32,0,0,7.8958,S,N
521,1,female,30,0,0,93.5,S,Y
522,3,male,22,0,0,7.8958,S,N
523,3,male,?,0,0,7.225,C,N
524,1,female,44,0,1,57.9792,C,Y
525,3,male,?,0,0,7.2292,C,N
526,3,male,40.5,0,0,7.75,Q,N
527,2,female,50,0,0,10.5,S,Y
528,1,male,?,0,0,221.7792,S,N
529,3,male,39,0,0,7.925,S,N
530,2,male,23,2,1,11.5,S,N
531,2,female,2,1,1,26,S,Y
532,3,male,?,0,0,7.2292,C,N
533,3,male,17,1,1,7.2292,C,N
534,3,female,?,0,2,22.3583,C,Y
535,3,female,30,0,0,8.6625,S,N
536,2,female,7,0,2,26.25,S,Y
537,1,male,45,0,0,26.55,S,N
538,1,female,30,0,0,106.425,C,Y
539,3,male,?,0,0,14.5,S,N
540,1,female,22,0,2,49.5,C,Y
541,1,female,36,0,2,71,S,Y
542,3,female,9,4,2,31.275,S,N
543,3,female,11,4,2,31.275,S,N
544,2,male,32,1,0,26,S,Y
545,1,male,50,1,0,106.425,C,N
546,1,male,64,0,0,26,S,N
547,2,female,19,1,0,26,S,Y
548,2,male,?,0,0,13.8625,C,Y
549,3,male,33,1,1,20.525,S,N
550,2,male,8,1,1,36.75,S,Y
551,1,male,17,0,2,110.8833,C,Y
552,2,male,27,0,0,26,S,N
553,3,male,?,0,0,7.8292,Q,N
554,3,male,22,0,0,7.225,C,Y
555,3,female,22,0,0,7.775,S,Y
556,1,male,62,0,0,26.55,S,N
557,1,female,48,1,0,39.6,C,Y
558,1,male,?,0,0,227.525,C,N
559,1,female,39,1,1,79.65,S,Y
560,3,female,36,1,0,17.4,S,Y
561,3,male,?,0,0,7.75,Q,N
562,3,male,40,0,0,7.8958,S,N
563,2,male,28,0,0,13.5,S,N
564,3,male,?,0,0,8.05,S,N
565,3,female,?,0,0,8.05,S,N
566,3,male,24,2,0,24.15,S,N
567,3,male,19,0,0,7.8958,S,N
568,3,female,29,0,4,21.075,S,N
569,3,male,?,0,0,7.2292,C,N
570,3,male,32,0,0,7.8542,S,Y
571,2,male,62,0,0,10.5,S,Y
572,1,female,53,2,0,51.4792,S,Y
573,1,male,36,0,0,26.3875,S,Y
574,3,female,?,0,0,7.75,Q,Y
575,3,male,16,0,0,8.05,S,N
576,3,male,19,0,0,14.5,S,N
577,2,female,34,0,0,13,S,Y
578,1,female,39,1,0,55.9,S,Y
579,3,female,?,1,0,14.4583,C,N
580,3,male,32,0,0,7.925,S,Y
581,2,female,25,1,1,30,S,Y
582,1,female,39,1,1,110.8833,C,Y
583,2,male,54,0,0,26,S,N
584,1,male,36,0,0,40.125,C,N
585,3,male,?,0,0,8.7125,C,N
586,1,female,18,0,2,79.65,S,Y
587,2,male,47,0,0,15,S,N
588,1,male,60,1,1,79.2,C,Y
589,3,male,22,0,0,8.05,S,N
590,3,male,?,0,0,8.05,S,N
591,3,male,35,0,0,7.125,S,N
592,1,female,52,1,0,78.2667,C,Y
593,3,male,47,0,0,7.25,S,N
594,3,female,?,0,2,7.75,Q,N
595,2,male,37,1,0,26,S,N
596,3,male,36,1,1,24.15,S,N
597,2,female,?,0,0,33,S,Y
598,3,male,49,0,0,0,S,N
599,3,male,?,0,0,7.225,C,N
600,1,male,49,1,0,56.9292,C,Y
601,2,female,24,2,1,27,S,Y
602,3,male,?,0,0,7.8958,S,N
603,1,male,?,0,0,42.4,S,N
604,3,male,44,0,0,8.05,S,N
605,1,male,35,0,0,26.55,C,Y
606,3,male,36,1,0,15.55,S,N
607,3,male,30,0,0,7.8958,S,N
608,1,male,27,0,0,30.5,S,Y
609,2,female,22,1,2,41.5792,C,Y
610,1,female,40,0,0,153.4625,S,Y
611,3,female,39,1,5,31.275,S,N
612,3,male,?,0,0,7.05,S,N
613,3,female,?,1,0,15.5,Q,Y
614,3,male,?,0,0,7.75,Q,N
615,3,male,35,0,0,8.05,S,N
616,2,female,24,1,2,65,S,Y
617,3,male,34,1,1,14.4,S,N
618,3,female,26,1,0,16.1,S,N
619,2,female,4,2,1,39,S,Y
620,2,male,26,0,0,10.5,S,N
621,3,male,27,1,0,14.4542,C,N
622,1,male,42,1,0,52.5542,S,Y
623,3,male,20,1,1,15.7417,C,Y
624,3,male,21,0,0,7.8542,S,N
625,3,male,21,0,0,16.1,S,N
626,1,male,61,0,0,32.3208,S,N
627,2,male,57,0,0,12.35,Q,N
628,1,female,21,0,0,77.9583,S,Y
629,3,male,26,0,0,7.8958,S,N
630,3,male,?,0,0,7.7333,Q,N
631,1,male,80,0,0,30,S,Y
632,3,male,51,0,0,7.0542,S,N
633,1,male,32,0,0,30.5,C,Y
634,1,male,?,0,0,0,S,N
635,3,female,9,3,2,27.9,S,N
636,2,female,28,0,0,13,S,Y
637,3,male,32,0,0,7.925,S,N
638,2,male,31,1,1,26.25,S,N
639,3,female,41,0,5,39.6875,S,N
640,3,male,?,1,0,16.1,S,N
641,3,male,20,0,0,7.8542,S,N
642,1,female,24,0,0,69.3,C,Y
643,3,female,2,3,2,27.9,S,N
644,3,male,?,0,0,56.4958,S,Y
645,3,female,0.75,2,1,19.2583,C,Y
646,1,male,48,1,0,76.7292,C,Y
647,3,male,19,0,0,7.8958,S,N
648,1,male,56,0,0,35.5,C,Y
649,3,male,?,0,0,7.55,S,N
650,3,female,23,0,0,7.55,S,Y
651,3,male,?,0,0,7.8958,S,N
652,2,female,18,0,1,23,S,Y
653,3,male,21,0,0,8.4333,S,N
654,3,female,?,0,0,7.8292,Q,Y
655,3,female,18,0,0,6.75,Q,N
656,2,male,24,2,0,73.5,S,N
657,3,male,?,0,0,7.8958,S,N
658,3,female,32,1,1,15.5,Q,N
659,2,male,23,0,0,13,S,N
660,1,male,58,0,2,113.275,C,N
661,1,male,50,2,0,133.65,S,Y
662,3,male,40,0,0,7.225,C,N
663,1,male,47,0,0,25.5875,S,N
664,3,male,36,0,0,7.4958,S,N
665,3,male,20,1,0,7.925,S,Y
666,2,male,32,2,0,73.5,S,N
667,2,male,25,0,0,13,S,N
668,3,male,?,0,0,7.775,S,N
669,3,male,43,0,0,8.05,S,N
670,1,female,?,1,0,52,S,Y
671,2,female,40,1,1,39,S,Y
672,1,male,31,1,0,52,S,N
673,2,male,70,0,0,10.5,S,N
674,2,male,31,0,0,13,S,Y
675,2,male,?,0,0,0,S,N
676,3,male,18,0,0,7.775,S,N
677,3,male,24.5,0,0,8.05,S,N
678,3,female,18,0,0,9.8417,S,Y
679,3,female,43,1,6,46.9,S,N
